,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,start_date,end_date,Difference,Region,Province_Name
313,Disaster,Natural,Meteorological - Hydrological,Flood,Flat Bay NL,NL,1996-02-17 00:00:00,0.0,0.0,30.0,,,1996-02-19 00:00:00,0.0,0.0,,,,,,0.0,0.0,1996-02-17,1996-02-19,2,Eastern Canada,Newfoundland and Labrador
314,Disaster,Natural,Meteorological - Hydrological,Flood,Sunny Valley AB,AB,1996-01-01 00:00:00,0.0,0.0,0.0,100307.0,107641.0,1996-01-01 00:00:00,,,100307.0,,,,,0.0,0.0,1996-01-01,1996-01-01,0,Western Canada,Alberta
315,Disaster,Natural,Meteorological - Hydrological,Drought,Grande Prairie AB,AB,1996-01-01 00:00:00,0.0,0.0,0.0,57644492.0,61859218.6,1996-01-01 00:00:00,,,100110.0,,57544382.0,,,0.0,0.0,1996-01-01,1996-01-01,0,Western Canada,Alberta
316,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,South Dumfries ON,ON,1996-01-01 00:00:00,0.0,0.0,0.0,99870.0,107172.1,1996-01-01 00:00:00,,,22413.0,77457.0,,,,0.0,0.0,1996-01-01,1996-01-01,0,Eastern Canada,Ontario
317,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontario,ON,1995-12-10 00:00:00,1.0,0.0,50.0,,,1995-12-11 00:00:00,0.0,0.0,,,,,,0.0,0.0,1995-12-10,1995-12-11,1,Eastern Canada,Ontario
318,Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,BC,1995-11-27 00:00:00,0.0,0.0,230.0,18835222.0,20512330.8,1995-11-29 00:00:00,1915497.0,5722996.0,11196729.0,,,,,0.0,0.0,1995-11-27,1995-11-29,2,Western Canada,British Columbia
319,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Hamilton ON,ON,1995-10-05 00:00:00,0.0,0.0,0.0,17419000.0,18970006.8,1995-10-06 00:00:00,0.0,0.0,,,,17419000.0,,0.0,0.0,1995-10-05,1995-10-06,1,Eastern Canada,Ontario
320,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Regina SK,SK,1995-09-26 00:00:00,0.0,0.0,0.0,13353120.0,14542096.4,1995-09-26 00:00:00,0.0,0.0,235120.0,,,13118000.0,,0.0,0.0,1995-09-26,1995-09-26,0,Western Canada,Saskatchewan
321,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Burin Peninsula NL,NL,1995-09-11 00:00:00,0.0,0.0,0.0,2661890.0,2898907.6,1995-09-11 00:00:00,1274866.0,1387024.0,,,,,,0.0,0.0,1995-09-11,1995-09-11,0,Eastern Canada,Newfoundland and Labrador
322,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Manitoba,MB,1995-07-30 00:00:00,0.0,0.0,0.0,9018000.0,9820972.6,1995-07-30 00:00:00,0.0,0.0,,,,9018000.0,,0.0,0.0,1995-07-30,1995-07-30,0,Western Canada,Manitoba
323,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,AB,1995-07-17 00:00:00,0.0,0.0,0.0,74559612.0,81198481.6,1995-07-17 00:00:00,,,18858612.0,,,55701000.0,,0.0,0.0,1995-07-17,1995-07-17,0,Western Canada,Alberta
324,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Ontario,ON,1995-07-13 00:00:00,0.0,0.0,0.0,56910000.0,61977328.8,1995-07-15 00:00:00,0.0,0.0,,,,56910000.0,,0.0,0.0,1995-07-13,1995-07-15,2,Eastern Canada,Ontario
325,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Alberta,AB,1995-07-10 00:00:00,0.0,0.0,0.0,28103000.0,30605321.9,1995-07-10 00:00:00,0.0,0.0,,,,28103000.0,,0.0,0.0,1995-07-10,1995-07-10,0,Western Canada,Alberta
326,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Edmonton AB,AB,1995-07-04 00:00:00,0.0,0.0,0.0,34511612.0,37584563.8,1995-07-04 00:00:00,,,18858612.0,,,15653000.0,,0.0,0.0,1995-07-04,1995-07-04,0,Western Canada,Alberta
327,Disaster,Natural,Meteorological - Hydrological,Wildfire,Sahtu Region of the Northwest Territories,NT,1995-06-06 00:00:00,0.0,0.0,950.0,3432310.0,3737926.6,1995-06-15 00:00:00,504871.0,202377.0,2725062.0,,,,,0.0,0.0,1995-06-06,1995-06-15,9,Northern Canada,Northwest Territories
328,Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,1995-06-06 00:00:00,0.0,0.0,0.0,154623306.0,168391134.6,1995-06-09 00:00:00,34061897.0,9324782.0,12672842.0,76670115.0,,21893670.0,,0.0,0.0,1995-06-06,1995-06-09,3,Western Canada,Alberta
329,Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern British Columbia,BC,1995-06-05 00:00:00,0.0,0.0,802.0,7155707.0,7792859.0,1995-06-09 00:00:00,1685853.0,5469854.0,,,,,,0.0,0.0,1995-06-05,1995-06-09,4,Western Canada,British Columbia
